model,n_factors,RMSE,MAE,Precision,Recall,F1,time_sec
FunkSVD,10,0.8490929899399812,0.6526285729122959,0.6747958214624882,0.6872371198698493,0.6809596490206108,0.2073993682861328
FunkSVD,20,0.8501231874877271,0.6544675992436194,0.6735992402659069,0.6863901974320853,0.679934568166685,0.20002293586730957
FunkSVD,50,0.8494208848512871,0.6525741620304145,0.6713770180436848,0.6846948361889607,0.6779705307733498,0.2542226314544678
FunkSVD,100,0.8527905135768962,0.6555387329765886,0.6725735992402658,0.6855909084794719,0.6790198717482521,0.39972972869873047
FunkSVD,150,0.8555895274762426,0.6567933132750654,0.6688129154795821,0.6855911753201408,0.6770981214656421,0.4709007740020752
