similarity,user_based,k,RMSE,MAE,Precision,Recall,F1,time_sec
cosine,True,5,1.0646672767156395,0.8310259980266356,0.6843619118009361,0.9279656945186374,0.787760966564489,0.05841422080993652
cosine,True,10,1.0482594385370188,0.8162147703144387,0.6874661246612466,0.9330025060687528,0.7916322537602856,0.05051755905151367
cosine,True,20,1.0445234840330868,0.8117131437599007,0.6874661246612466,0.9325319841459027,0.7914628366270071,0.05823469161987305
cosine,True,30,1.044758685536977,0.8118939286553376,0.6868009361911801,0.9320700477083564,0.7908555872931541,0.057000160217285156
cosine,True,50,1.0448282193700438,0.8119553761394691,0.6868009361911801,0.9320700477083564,0.7908555872931541,0.06330990791320801
cosine,True,100,1.0448282193700438,0.8119553761394691,0.6868009361911801,0.9320700477083564,0.7908555872931541,0.07259130477905273
cosine,True,150,1.0448282193700438,0.8119553761394691,0.6868009361911801,0.9320700477083564,0.7908555872931541,0.05699872970581055
cosine,False,5,1.0647318239438184,0.8160346323592893,0.6683973885193398,0.9068497931862096,0.769575772722464,0.46832275390625
cosine,False,10,1.040810480825942,0.7956103873997122,0.668840847499384,0.9086547252197186,0.7705193054237431,0.441622257232666
cosine,False,20,1.0280459252736571,0.7847133033235654,0.6712798718896281,0.9116158418280443,0.773202378667927,0.5076944828033447
cosine,False,30,1.0254714779227334,0.7828784145043723,0.6717233308696723,0.9121992918463251,0.7737064146293682,0.5085239410400391
cosine,False,50,1.0241597011154484,0.7824360539105036,0.6734971667898497,0.9137932725145852,0.7754562931027146,0.4807398319244385
cosine,False,100,1.0238253388054315,0.7819810809292137,0.6734971667898495,0.913901057683346,0.7754951008342567,0.4775421619415283
cosine,False,150,1.023812210656708,0.7819882558759085,0.6734971667898495,0.913901057683346,0.7754951008342567,0.4793357849121094
adjusted_cosine,True,5,1.131813682988101,0.8682826075194962,0.6857595610951316,0.9324159792251802,0.7902890097386807,0.08068108558654785
adjusted_cosine,True,10,1.1257456590251393,0.8638825296424812,0.6857595610951316,0.9308297268000015,0.7897186869718735,0.07779932022094727
adjusted_cosine,True,20,1.117935614191606,0.8577910268703156,0.6866544156812614,0.93210686136254,0.790771686125614,0.10134696960449219
adjusted_cosine,True,30,1.1157286452849897,0.8568794965120244,0.6868781293277937,0.933164816058785,0.7913006319175359,0.08367705345153809
adjusted_cosine,True,50,1.1149745945537122,0.8557201560217816,0.6871018429743262,0.933351244097562,0.7915161075358729,0.08122706413269043
adjusted_cosine,True,100,1.114719183961161,0.8553353290338358,0.6871018429743262,0.933351244097562,0.7915161075358729,0.09092378616333008
adjusted_cosine,True,150,1.114719183961161,0.8553353290338358,0.6871018429743262,0.933351244097562,0.7915161075358729,0.08626031875610352
adjusted_cosine,False,5,1.0455297430769133,0.7963063087039209,0.6792718653456908,0.9258729783561613,0.7836295491324258,0.2512695789337158
adjusted_cosine,False,10,1.0361577213412274,0.7892553002716236,0.6810615745179504,0.9289118143008687,0.7859088196485358,0.29628658294677734
adjusted_cosine,False,20,1.0314899105586104,0.7872784424534697,0.6806141472248854,0.927930367734823,0.7852596307360888,0.2582685947418213
adjusted_cosine,False,30,1.0272361549605318,0.7833349235705143,0.680837860871418,0.9283498308220713,0.7855587216082596,0.2950143814086914
adjusted_cosine,False,50,1.0222058918620185,0.7792756676652912,0.6801667199318207,0.9277977294310438,0.7849142916528438,0.3303987979888916
adjusted_cosine,False,100,1.0137841727040684,0.772467236936729,0.6812852881644829,0.9287310801966093,0.7859930296772616,0.36333250999450684
adjusted_cosine,False,150,1.0076138939014205,0.7691416031243979,0.6801667199318207,0.926942097367358,0.7846079358740885,0.3287520408630371
pearson,True,5,1.1171070137856973,0.8681536010523714,0.685470559251047,0.9286513490557785,0.7887423574520996,0.07602071762084961
pearson,True,10,1.11578361239398,0.8673047846587769,0.6850271002710028,0.928249604335852,0.7883038699686093,0.057682037353515625
pearson,True,20,1.1158164325902822,0.8674116635605488,0.6850271002710028,0.928249604335852,0.7883038699686093,0.0768892765045166
pearson,True,30,1.1158164325902822,0.8674116635605488,0.6850271002710028,0.928249604335852,0.7883038699686093,0.05860328674316406
pearson,True,50,1.1158164325902822,0.8674116635605488,0.6850271002710028,0.928249604335852,0.7883038699686093,0.05156517028808594
pearson,True,100,1.1158164325902822,0.8674116635605488,0.6850271002710028,0.928249604335852,0.7883038699686093,0.0702676773071289
pearson,True,150,1.1158164325902822,0.8674116635605488,0.6850271002710028,0.928249604335852,0.7883038699686093,0.05987691879272461
pearson,False,5,1.0932746405815479,0.8383381925136401,0.6710581423996058,0.909915701681159,0.7724433175115822,0.5253922939300537
pearson,False,10,1.0909044750345422,0.8363081802471725,0.6728319783197831,0.9125556317601135,0.7745697104483792,0.5259499549865723
pearson,False,20,1.0909737675514062,0.8364666899488826,0.6728319783197831,0.9125309951501108,0.7745608356187953,0.6569802761077881
pearson,False,30,1.0909739787919914,0.8364669570066854,0.6728319783197831,0.9125309951501108,0.7745608356187953,0.6150128841400146
pearson,False,50,1.0909739787919914,0.8364669570066854,0.6728319783197831,0.9125309951501108,0.7745608356187953,0.6301600933074951
pearson,False,100,1.0909739787919914,0.8364669570066854,0.6728319783197831,0.9125309951501108,0.7745608356187953,0.598163366317749
pearson,False,150,1.0909739787919914,0.8364669570066854,0.6728319783197831,0.9125309951501108,0.7745608356187953,0.5782153606414795
jaccard,True,5,1.0624764561496136,0.8232353654468172,0.685983274741664,0.9349823879556807,0.7913582564708197,1.0620198249816895
jaccard,True,10,1.0544782483007114,0.8173311816416577,0.6882204112069883,0.9376569846739015,0.7938048430936576,1.0596168041229248
