model,n_factors,RMSE,MAE,Precision,Recall,F1,time_sec
FunkSVD (sparse),10,0.9129392002324329,0.7071828092228987,0.6872443951712244,0.9308079854260976,0.790694514757989,0.05716085433959961
FunkSVD (sparse),20,0.9123291842059816,0.706384177618633,0.6881313131313131,0.9329558549313881,0.7920562819761355,0.06264352798461914
FunkSVD (sparse),50,0.9175650557557088,0.7107882800510515,0.6883530426213352,0.9330852444590173,0.7922497848561131,0.08986306190490723
FunkSVD (sparse),100,0.9200352220572853,0.7111018045664402,0.6912355259916235,0.9353752153607263,0.7949837813708911,0.14684629440307617
FunkSVD (sparse),150,0.9205252581433089,0.716716447191554,0.6854705592510469,0.9274043655590629,0.7882922343609224,0.16353726387023926
