model,n_factors,RMSE,MAE,Precision,Recall,F1,time_sec
FunkSVD (extra sparse),10,0.934162730582715,0.7495635434894166,0.7605174603174603,0.9880222222222222,0.8594693717105328,0.009215116500854492
FunkSVD (extra sparse),20,0.9359487901142928,0.751676795149187,0.7605174603174603,0.9879777777777777,0.8594525555862194,0.008069276809692383
FunkSVD (extra sparse),50,0.9380506867756215,0.7527070433310552,0.7617174603174603,0.9901777777777778,0.861051147067132,0.011282205581665039
FunkSVD (extra sparse),100,0.9403742878676352,0.7539795988752401,0.7621174603174603,0.9907,0.861504161191732,0.016993045806884766
FunkSVD (extra sparse),150,0.9431483846242635,0.7533219696588933,0.7609174603174604,0.9883555555555557,0.8598509122358515,0.02278447151184082
