model,n_factors,RMSE,MAE,Precision,Recall,F1
FunkSVD,10,0.8816656121931556,0.6806264460782183,0.67933164718879,0.809166864756577,0.7385867767744869
FunkSVD,20,0.8815326445717955,0.6803319351543365,0.6764012442583871,0.8056496754779559,0.7353896356362715
FunkSVD,50,0.8865306630561094,0.684498908451844,0.6736539915111343,0.8057773198669635,0.7338158975314493
FunkSVD,100,0.8911726536860167,0.6898742360415991,0.6756686435257864,0.8082540887843082,0.7360382476827552
FunkSVD,150,0.8920771078836395,0.6908564819522762,0.6720056398627827,0.8017009915211926,0.7311463167942484
